N_SAME_PRODUCT,N_COUNT,O_COUNT,MISSING_COUNT,N_Ventes_Valeur_2019,N_Ventes_Valeur_2018
MQ_FAB_1_PRX | PESTO | PESTO_VERD | POT | NON_BIO,1,1.0,0,109841.69999999998,106211.90000000002
LUCIEN_GEORGELIN | BIO | NATURE | POT | BIO,1,1.0,0,107679.70000000004,10274.6
JARDIN_BIO | BIO | AIL_&_PERSIL_PROTEINES_DE_SOJA | POT | BIO,1,1.0,0,106925.2,106510.9
HEINZ | LEGUMES | MEDITERRAN | POT | NON_BIO,4,4.0,0,106417.29999999999,354353.2
FLORELLI | LEGUMES | PARMESAN | POT | NON_BIO,1,1.0,0,105203.79999999996,95341.1
FLORELLI | LEGUMES | ARRABIATA | POT | NON_BIO,2,2.0,0,104317.7,112402.69999999998
PANZANI | LEGUMES | TOM_CUI_A_L'ORIGAN | TUB | NON_BIO,1,1.0,0,103313.2,11878.000000000002
PANZANI | PESTO | PEST_BASIL_PARM | COUPELLE | NON_BIO,1,1.0,0,103226.0,0.0
AUT_MQ | BIO | ARRABIATA | POT | BIO,9,8.0,1,103052.49999999999,94172.99999999999
CIRIO | LEGUMES | PETIT_LEGUMES_&_PARMESAN | TUB | NON_BIO,1,1.0,0,98113.1,80051.29999999997
AUT_MQ | SCE_CLAS | PESTO_ALLA_LIGURE | POT | NON_BIO,1,1.0,0,95330.8,23643.60000000001
SACLA | BIO | PESTO_TOM_SECHE | POT | BIO,1,1.0,0,95320.4,90831.7
AUT_MQ | SCE_CLAS | PANANG_CURRY | DOY_PAC | NON_BIO,1,1.0,0,94928.0,200969.1
JARDIN_BIO | BIO | TOMATE_CUISINEE_AUX_LEGUMES | TUB | BIO,1,1.0,0,92697.3,25561.2
DE_CECCO | LEGUMES | ARRABIATA | POT | NON_BIO,3,3.0,0,91426.5,100826.9
AUT_MQ | SCE_CLAS | PESTO_BLANC | POT | NON_BIO,1,1.0,0,90968.39999999998,82825.59999999999
FLORELLI | LEGUMES | AUBER_RICO | POT | NON_BIO,2,2.0,0,85448.6,93455.0
ZAPETTI_BUITONI | LEGUMES | TOMATE_CUI | DOY_PAC | NON_BIO,1,1.0,0,84228.40000000001,54094.7
SACLA | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,3,3.0,0,83438.5,128115.0
LUCIEN_GEORGELIN | BIO | AIL_OIGNON | POT | BIO,1,1.0,0,82827.0,10921.600000000002
AUT_MQ | BIO | BASILIC | POT | BIO,12,9.0,3,82029.5,31401.799999999996
AUT_MQ | SCE_CLAS | PESTO_JAUNE | POT | NON_BIO,1,1.0,0,78994.1,86109.79999999999
LUCIEN_GEORGELIN | BIO | PIMENT_D'ESPELETTE | POT | BIO,1,1.0,0,77120.0,10269.500000000002
ZAPETTI_BUITONI | BIO | BOLOGNAISE | BTE_FER | BIO,1,1.0,0,76418.70000000001,0.0
UNC_BENS | SCE_CLAS | TIKKA_MASALA | POT | BIO,1,1.0,0,75934.8,0.0
VICTORIA | PESTO | PESTO_VERD | POT | NON_BIO,1,1.0,0,75480.8,45653.80000000001
AUT_MQ | SCE_CLAS | BEURRE_CITRON_A_LA_CREME_FRAIC | DOY_PAC | NON_BIO,1,1.0,0,75244.40000000001,42432.8
PANZANI | LEGUMES | BASILIC | POT | NON_BIO,4,3.0,1,74540.40000000001,32316.5
SACLA | BIO | BOLOGNAISE | POT | BIO,1,1.0,0,74319.3,161168.0
ZAPETTI_BUITONI | BIO | NATURE | BTE_FER | BIO,1,1.0,0,74070.09999999999,0.0
DE_CECCO | LEGUMES | NAPOLITAIN | POT | NON_BIO,2,2.0,0,73853.59999999999,82539.9
AUT_MQ | CREME | FROMAGE | POT | NON_BIO,3,3.0,0,72554.6,78010.20000000001
SACLA | PESTO | PESTO_ROSSO_&_GINGEMBRE_CONFIT | POT | BIO,1,1.0,0,72157.5,38892.7
FLORELLI | LEGUMES | TOM_CERISE | POT | NON_BIO,1,1.0,0,72115.5,75162.29999999999
BJORG | BIO | BOLOGNESE_VEGETALE | POT | BIO,1,1.0,0,71510.4,132910.4
SUZY_WAN | SCE_CLAS | POULET_COCO_CURRY | POT | NON_BIO,1,1.0,0,71435.40000000001,92458.2
FLORELLI | LEGUMES | TOM_SECHE | POT | NON_BIO,2,2.0,0,70022.5,111621.80000000002
AUT_MQ | LEGUMES | TOMATE_CUI | POT | NON_BIO,5,3.0,2,69987.40000000001,83411.09999999999
SACLA | LEGUMES | AUBER_OLIV_NR_CAJOU | POT | NON_BIO,1,1.0,0,69916.1,89817.0
MDD | AUT_SCE |  | DOY_PAC | ,1,0.0,1,68839.2,150078.19999999998
ITALIANS_DO_IT_BETTER | LEGUMES | OLIVE | POT | NON_BIO,1,1.0,0,68812.9,0.0
ITALIANS_DO_IT_BETTER | LEGUMES | OLIVES_DE_TAGGIASCHE | POT | NON_BIO,1,1.0,0,68075.3,91722.1
AUT_MQ | SCE_CLAS | BEURRE_BLANC_RICHE_EN_ECHALOTE | DOY_PAC | NON_BIO,1,1.0,0,67903.7,86137.29999999999
DE_CECCO | LEGUMES | SICILIEN | POT | NON_BIO,2,2.0,0,67811.69999999997,78691.0
ZAPETTI_BUITONI | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,10,4.0,6,67163.50000000001,398939.4000000001
FLORELLI | LEGUMES | CEPE | POT | NON_BIO,1,1.0,0,65324.8,66001.5
AUT_MQ | BIO | PESTO_VERD | POT | BIO,6,6.0,0,65292.3,66191.09999999999
AUT_MQ | SCE_CLAS | CURRY_INDIENNE_BUTTER_CHICKEN | POT | NON_BIO,2,2.0,0,65264.00000000001,0.0
FLORELLI | PESTO | PESTO_ROQUETTE_&_NOIX | POT | NON_BIO,1,1.0,0,64759.20000000001,68873.79999999999
MQ_FAB_1_PRX | LEGUMES | PT_LEGUME | TUB | NON_BIO,1,1.0,0,64751.8,67356.1
HEINZ | PESTO | PESTO_RGE | POT | NON_BIO,3,2.0,1,63868.8,254944.3
AUT_MQ | SCE_CLAS | OSEILLE_A_LA_CREME_FRAICHE_AU | DOY_PAC | NON_BIO,1,1.0,0,62583.3,70158.9
FLORELLI | LEGUMES | MASCARPONE | POT | NON_BIO,2,2.0,0,62246.4,85787.50000000001
AUT_MQ | LEGUMES | POIVRON | POT | NON_BIO,8,3.0,5,60911.899999999994,63240.0
