N_SAME_PRODUCT,N_COUNT,O_COUNT,MISSING_COUNT,N_DERNIER CAM,N_CAM AN-1
"SUZY WAN, SCE CLAS, POULET COCO CURRY, POT, ",1,1.0,0,4995.500000000001,6190.400000000002
"AUT MQ, SCE CLAS, PESTO ALLA LIGURE, POT, ",1,1.0,0,4958.4000000000015,1172.4
"HEINZ, BOLO ORIGINALE, BOLOG CHAMP, POT, ",1,1.0,0,4846.700000000002,1498.0
"ITALIANS DO IT BETTER, SCE CLAS, PESTO ROSSO TOMATES SECHEES AU, POT, ",1,1.0,0,4806.0999999999985,3353.1
"KNORR, LEGUMES, LEGUME, BTE FER, ",1,0.0,1,4775.0,5110.0
"AUT MQ, LEGUMES, SICILIEN, POT, ",4,3.0,1,4767.599999999999,6161.200000000001
"AUT MQ, LEGUMES, LEGUME, POT, ",3,3.0,0,4736.2,2596.2999999999997
"LOUIS MARTIN, LEGUMES, TOMATE CUI, POT, ",1,1.0,0,4702.3,4240.4
"AUT MQ, CREME, FROM POIVR, POT, ",1,1.0,0,4641.0,4585.799999999998
"FLORELLI, LEGUMES, OLIVE, POT, ",1,1.0,0,4626.3,4176.4000000000015
"RIVOIRE & CARRET, BOLO CLASSIQUE, BOLOGNAISE PUR BOEUF, POT, ",1,1.0,0,4556.6,9201.8
"HEINZ, LEGUMES, TOMATO SOFRITO, POT, ",1,1.0,0,4491.8,0.0
"JARDIN BIO, SCE CLAS, CURRY AU LAIT DE COCO, POT, ",1,1.0,0,4481.9000000000015,0.0
"ITALIANS DO IT BETTER, BOLO CLASSIQUE, BOULETTES DE VIANDE, POT, ",1,1.0,0,4442.0,5622.9
"CASERTA, LEGUMES, TOMATE CUI, POT, ",1,1.0,0,4411.000000000001,4393.1
"JARDIN BIO, BIO, DUO D'OLIVES VERTES & NOIRES, POT, ",1,1.0,0,4409.299999999998,0.0
"SACLA, BIO, CEPE, POT, ",1,1.0,0,4355.0,6683.9
"CIRIO, LEGUMES, LEGUME, POT, ",1,1.0,0,4324.7,7145.500000000001
"LOUIS MARTIN, LEGUMES, AROMATE, BTE FER, ",1,1.0,0,4183.2,6022.799999999998
"SACLA, PESTO, PESTO ROSSO & GINGEMBRE CONFIT, POT, ",1,1.0,0,4175.9,2384.5
"MUTTI, LEGUMES, PARMIGIANO REGGIANO, POT, ",2,2.0,0,4162.200000000001,6086.4000000000015
"SACLA, BIO, POIVRON, POT, ",1,1.0,0,4073.6,4698.7
"CIRIO, LEGUMES, PARMESAN, POT, ",1,1.0,0,3996.8,8113.399999999998
"AUT MQ, LEGUMES, AUBER POIV, POT, ",1,1.0,0,3973.6,3856.7
"CASERTA, LEGUMES, SIMPLISSIM, POT, ",1,1.0,0,3956.6,3532.5999999999995
"AUT MQ, LEGUMES, MEDITERRAN, POT, ",1,1.0,0,3947.4,5953.3
"AUT MQ, PESTO, PESTO OLIV, POT, ",2,2.0,0,3909.400000000001,3466.1
"ZAPETTI BUITONI, LEGUMES, NAPOLITAIN, POT, ",7,4.0,3,3868.1,29428.500000000007
"FLORELLI, LEGUMES, GORGONZOLA & OIGNON, POT, ",1,1.0,0,3732.2,3189.5000000000005
"ZAPETTI BUITONI, LEGUMES, PROVENCALE AUX LEGUMES DU SOLE, POT, ",4,1.0,3,3723.6,29368.9
"AUT MQ, BIO, BASIL H OLIVE, POT, ",1,1.0,0,3718.7,3495.4
"PANZANI, LEGUMES, KETCHUP, TUB, ",1,1.0,0,3684.8,15776.2
"AUT MQ, LEGUMES, PISTOU, POT, ",8,5.0,3,3617.0,4208.700000000002
"AUT MQ, LEGUMES, POIVRON, POT, ",8,3.0,5,3576.2000000000003,4017.300000000001
"PANZANI, QUALITE FRAICHEMENT CUISINEE, TOM RICOTT, POT, ",1,1.0,0,3533.300000000001,0.0
"AUT MQ, SCE CLAS, BARBECUE TERIYAKI AU MIEL, POT, ",1,1.0,0,3456.4000000000005,3882.1
"CIRIO, LEGUMES, OLIV CAPRE, POT, ",1,1.0,0,3401.4000000000005,5285.200000000002
"SACLA, PESTO, PESTO DES ANGES, POT, ",1,1.0,0,3399.3,4662.499999999999
"AUT MQ, BIO, TOM CERISE, POT, ",1,1.0,0,3364.100000000001,3321.4
"MQ FAB 1 PRX, PESTO, PESTO RGE, POT, ",1,1.0,0,3358.5000000000005,3463.5000000000005
"AUT MQ, SCE CLAS, NANTUA AUX ECREVISSES, POT, ",1,1.0,0,3318.5,3381.9
